gene	symbol	biotype
ENSG00000223972.5	DDX11L1
ENSG00000229104.1	YY1P2
ENSG00000232992.2	AHCYP4
XLOC_002338	NotAvail
G046186	Unknown
G046189	Unknown
G046192	Unknown
G046195	Unknown
XLOC_001690	NotAvail
ENSG00000226939.1	AC062021.1
G046200	Unknown
ENSG00000229131.1	AC016710.1
ENSG00000206901.1	SNORA72
ENSG00000235232.1	MRPS18BP2
ENSG00000228374.1	AC012497.2
G046202	Unknown
ENSG00000223554.1	AC078851.1
ENSG00000221074.1	AC078851.2
G046204	Unknown
G046207	Unknown
G046208	Unknown
G046209	Unknown
ENSG00000240977.3	RN7SL283P
G046210	Unknown
G046211	Unknown
ENSG00000224028.1	AC073928.2
ENSG00000281595.1	AC073928.1
ENSG00000227149.1	AC092156.3
ENSG00000231567.1	MTND2P19
ENSG00000223921.1	MTND1P27
G046212	Unknown
ENSG00000168702.16	LRP1B
ENSG00000277306.1	uc_338
MIR7157	MIR7157
ENSG00000236440.1	AC117947.1
G046214	Unknown
G046215	Unknown
ENSG00000238065.1	AC010740.1
ENSG00000201892.1	Y_RNA
G046216	Unknown
ENSG00000252015.1	RNU6-904P
ENSG00000233329.1	AC068287.1
G046217	Unknown
ENSG00000281341.1	AC093859.1
G046218	Unknown
ENSG00000265224.1	AC012353.1
G046220	Unknown
ENSG00000266259.1	AC012003.1
G046223	Unknown
ENSG00000244125.1	AC078882.1
G046224	Unknown
CRCAG_064378	NotAvail
G046226	Unknown
ENSG00000239131.1	AC016706.1
G046230	Unknown
G046232	Unknown
G046233	Unknown
ENSG00000228134.1	AC092578.1
G046236	Unknown
G046237	Unknown
G046238	Unknown
G046239	Unknown
G046240	Unknown
G046242	Unknown
G046243	Unknown
G046244	Unknown
ENSG00000229781.1	AC013444.1
G046246	Unknown
XLOC_002342	NotAvail
ENSG00000115919.14	KYNU
G046248	Unknown
ENSG00000270390.1	RP11-470B22.1
G046249	Unknown
ENSG00000221169.2	AC013444.2
G046251	Unknown
ENSG00000075884.12	ARHGAP15
ENSG00000224288.2	AC013437.2
ENSG00000226839.1	MTND6P11
ENSG00000224852.1	MTND5P24
ENSG00000232772.1	MTND4P22
ENSG00000236300.2	AC013437.4
ENSG00000227557.1	MTND3P9
ENSG00000225476.1	AC013437.6
ENSG00000231766.1	AC013437.7
G046256	Unknown
ENSG00000257284.1	RP11-190J23.1
G046257	Unknown
ENSG00000228655.6	AC096558.1
ENSG00000257640.1	RP11-570L15.2
ENSG00000258268.1	RP11-570L15.1
G046259	Unknown
ENSG00000231758.2	AC092652.1
ENSG00000257277.1	RP11-434H14.1
ENSG00000257226.1	CTD-2252P21.1
G046262	Unknown
G046258	Unknown
ENSG00000236356.1	AC079584.2
G046265	Unknown
ENSG00000200287.1	Y_RNA
ENSG00000232377.1	AC016910.1
ENSG00000121964.14	GTDC1
G046270	Unknown
ENSG00000169554.16	ZEB2
ENSG00000279166.1	RP11-107E5.3
ENSG00000238057.8	ZEB2-AS1
ENSG00000275372.1	ZEB2_AS1_1
ENSG00000273537.1	ZEB2_AS1_3
ENSG00000277444.1	ZEB2_AS1_4
ENSG00000232606.1	LINC01412
XLOC_002344	NotAvail
G046280	Unknown
G046281	Unknown
ENSG00000226674.8	TEX41
ENSG00000234940.1	AC023128.1
ENSG00000276706.1	VIS1
ENSG00000235352.1	AC023128.2
ENSG00000268580.1	RP11-514A9.1
G046285	Unknown
G046287	Unknown
G046289	Unknown
ENSG00000235435.1	AC064865.1
ENSG00000214064.3	RPL6P5
G046290	Unknown
G046292	Unknown
G046293	Unknown
LCAG_035939	NotAvail
ENSG00000225107.1	AC092484.1
ENSG00000226218.1	AC079163.1
G046296	Unknown
G046297	Unknown
G046299	Unknown
G046300	Unknown
G046301	Unknown
G046302	Unknown
G046303	Unknown
ENSG00000234119.1	AC079248.1
G046305	Unknown
G046306	Unknown
ENSG00000279876.1	RP11-24J11.1
ENSG00000233842.1	AC062031.1
G046310	Unknown
G046313	Unknown
G046314	Unknown
ENSG00000251905.1	RNU7-2P
ENSG00000230559.1	RPL17P12
G046316	Unknown
ENSG00000227134.1	AC093084.1
ENSG00000198526.7	PABPC1P2
ENSG00000271583.1	RP11-638D14.1
ENSG00000231040.1	AC103881.1
G046322	Unknown
ENSG00000227902.2	AC062032.1
G046324	Unknown
ENSG00000207225.1	RNU6-692P
ENSG00000221289.2	AC013406.1
ENSG00000207161.1	Y_RNA
ENSG00000202074.1	RNU6-715P
CRCAG_063149	NotAvail
ENSG00000253083.1	RNA5SP106
ENSG00000229143.1	AC009480.4
G046330	Unknown
ENSG00000121989.14	ACVR2A
ENSG00000212389.1	RNU6-1275P
ENSG00000223911.1	AC009480.3
ENSG00000115947.13	ORC4
ENSG00000265049.1	AC009480.1
ENSG00000204406.11	MBD5
ENSG00000281469.1	RP11-567F11.1
G046336	Unknown
ENSG00000281772.1	RP11-567F11.2
G046345	Unknown
ENSG00000212181.1	SNORA48
ENSG00000224007.1	AC019070.1
LCAG_034607	NotAvail
G046346	Unknown
G046347	Unknown
G046348	Unknown
ENSG00000232238.1	AC017080.1
ENSG00000135999.11	EPC2
G046351	Unknown
G046352	Unknown
ENSG00000222126.1	RNU2-9P
ENSG00000223962.1	UBBP3
G046354	Unknown
ENSG00000231079.7	AC105402.4
ENSG00000228848.3	AC105402.2
ENSG00000226340.1	AC105402.3
ENSG00000168280.16	KIF5C
G046357	Unknown
ENSG00000150556.16	LYPD6B
ENSG00000228236.2	TXNP5
G046359	Unknown
G046360	Unknown
G046362	Unknown
XLOC_001701	NotAvail
G046364	Unknown
ENSG00000224337.1	FAM8A3P
ENSG00000187123.14	LYPD6
G046366	Unknown
G046367	Unknown
ENSG00000223604.1	AC007394.3
G046368	Unknown
G046369	Unknown
G046370	Unknown
G046371	Unknown
G046372	Unknown
G046373	Unknown
ENSG00000168288.12	MMADHC
ENSG00000231969.1	AC144449.1
G046374	Unknown
ENSG00000207270.1	RNU6-601P
ENSG00000162947.4	AC007364.1
G046376	Unknown
G046377	Unknown
G046378	Unknown
G046379	Unknown
G046380	Unknown
XLOC_002353	NotAvail
ENSG00000230645.1	AC016682.1
ENSG00000231420.1	AC113610.1
G046385	Unknown
G046386	Unknown
G046382	Unknown
G046389	Unknown
G046390	Unknown
G046391	Unknown
ENSG00000115963.13	RND3
G046395	Unknown
ENSG00000236049.1	AC104777.2
ENSG00000237220.1	AC104777.3
ENSG00000232359.1	AC104777.1
G046400	Unknown
ENSG00000224048.5	AC104777.4
G046397	Unknown
G046405	Unknown
G046406	Unknown
G046407	Unknown
G046409	Unknown
G046410_grp1	Unknown
ENSG00000228064.1	AC023469.2
ENSG00000222031.1	AC023469.1
G046412	Unknown
G046410_grp2	Unknown
ENSG00000236885.1	AC018731.3
G046413	Unknown
ENSG00000213201.3	FABP5P10
G046414	Unknown
ENSG00000184898.6	RBM43
ENSG00000123609.10	NMI
G046417	Unknown
G046418	Unknown
LOC101929319	LOC101929319
ENSG00000123610.4	TNFAIP6
ENSG00000264684.1	MIR4773-1
MIR4773-2	MIR4773-2
ENSG00000242113.3	RN7SL124P
ENSG00000080345.17	RIF1
G046425	Unknown
ENSG00000183091.19	NEB
G046426	Unknown
G046428	Unknown
G046429	Unknown
G046430	Unknown
G046431	Unknown
G046434	Unknown
G046436	Unknown
ENSG00000162980.16	ARL5A
ENSG00000182389.18	CACNB4
G046440	Unknown
G046441	Unknown
G046442	Unknown
G046443	Unknown
ENSG00000225214.1	AC079790.2
G046446	Unknown
ENSG00000115145.9	STAM2
ENSG00000234272.1	RPL30P2
XLOC_001710	NotAvail
G046449	Unknown
G046451	Unknown
ENSG00000199884.1	Y_RNA
ENSG00000157827.19	FMNL2
ENSG00000213197.3	AC012066.1
ENSG00000270776.1	RP11-17G11.1
G046456	Unknown
ENSG00000196504.15	PRPF40A
ENSG00000177917.10	ARL6IP6
ENSG00000234932.2	AC009969.1
G046463	Unknown
ENSG00000226213.1	UBQLN4P2
ENSG00000214025.2	ATP5F1P4
ENSG00000224612.1	AC011901.2
ENSG00000226338.1	AC079150.2
XLOC_001711	NotAvail
G046472	Unknown
XLOC_001712	NotAvail
ENSG00000227708.1	AC079150.3
G046470	Unknown
ENSG00000214024.2	RPL23AP29
G046476	Unknown
ENSG00000242575.1	AC012501.3
ENSG00000227400.2	AC012501.2
ENSG00000200377.1	SNORD56
ENSG00000177519.3	RPRM
G046480	Unknown
ENSG00000236917.1	DNAJA1P2
ENSG00000144278.14	GALNT13
G046481	Unknown
ENSG00000215934.2	AC008166.1
ENSG00000212001.2	AC009297.1
ENSG00000230251.1	PHBP4
G046482	Unknown
ENSG00000224675.1	AC009227.2
ENSG00000238004.1	AC009227.3
XLOC_002360	NotAvail
G046487	Unknown
G046489	Unknown
ENSG00000223290.1	RNA5SP107
G046490	Unknown
G046492	Unknown
XLOC_l2_008316	NotAvail
ENSG00000235949.1	AC061961.2
ENSG00000162989.4	KCNJ3
G046494	Unknown
G046495	Unknown
G046497	Unknown
G046498	Unknown
XLOC_l2_008317	NotAvail
ENSG00000228837.2	CBX3P6
ENSG00000230991.1	AC092625.1
ENSG00000223197.1	RNU6-1001P
G046499	Unknown
XLOC_002364	NotAvail
G046503	Unknown
ENSG00000232982.1	AC092662.2
ENSG00000229701.1	MTND2P20
ENSG00000227682.2	ATP5A1P2
ENSG00000233709.1	MTND4P28
ENSG00000233039.1	MTND5P30
ENSG00000233248.1	MTND6P9
ENSG00000229935.1	AC092662.6
ENSG00000206718.1	RNU6-546P
XLOC_001715	NotAvail
G046510	Unknown
G046514	Unknown
G046515	Unknown
G046516	Unknown
G046517	Unknown
G046518	Unknown
XLOC_001716	NotAvail
ENSG00000226383.5	AC093375.1
ENSG00000235548.1	AC073551.1
G046523	Unknown
G046521	Unknown
G046524	Unknown
ENSG00000282440.1	RP11-605B16.1
G046526	Unknown
ENSG00000153234.13	NR4A2
G046528	Unknown
G046529	Unknown
ENSG00000115159.15	GPD2
G046534	Unknown
G046536	Unknown
G046537	Unknown
G046538	Unknown
G046539	Unknown
G046540	Unknown
ENSG00000238069.1	RPLP0P7
XLOC_001718	NotAvail
G046541_grp1	Unknown
ENSG00000281222.1	AC096589.1
G046542	Unknown
ENSG00000263848.1	AC108057.1
XLOC_001719	NotAvail
G046541_grp2	Unknown
G046544	Unknown
ENSG00000213194.3	AC016732.2
ENSG00000136542.8	GALNT5
ENSG00000222404.1	RN7SKP281
ENSG00000136541.14	ERMN
G046550	Unknown
ENSG00000230562.3	FAM133DP
G046553	Unknown
G046554	Unknown
G046560	Unknown
ENSG00000115165.9	CYTIP
ENSG00000123612.15	ACVR1C
G046564	Unknown
ENSG00000234584.1	AC019186.1
ENSG00000115170.13	ACVR1
ENSG00000007001.12	UPP2
XLOC_001720	NotAvail
ENSG00000270557.1	RP11-546J1.1
ENSG00000251980.1	RNU6-436P
ENSG00000271320.1	RP11-1152H14.1
G046567	Unknown
ENSG00000228937.1	AC005539.2
ENSG00000212410.1	RNU6-932P
ENSG00000231158.1	PTP4A1P1
ENSG00000237327.1	UPP2-IT1
ENSG00000227480.2	CCDC148-AS1
ENSG00000153237.17	CCDC148
G046572	Unknown
ENSG00000234890.1	HNRNPDLP2
ENSG00000243723.3	RN7SL393P
ENSG00000144283.21	PKP4
ENSG00000227331.1	AC005042.2
ENSG00000281472.1	AC005042.1
G046575	Unknown
ENSG00000204380.4	AC005042.4
ENSG00000228586.1	AC005042.5
ENSG00000231675.1	AC005042.3
G046582	Unknown
ENSG00000163331.10	DAPL1
G046584	Unknown
XLOC_l2_007611	NotAvail
ENSG00000243792.1	OR7E89P
ENSG00000251491.2	OR7E28P
G046585	Unknown
ENSG00000188668.4	OR7E90P
G046587	Unknown
G046588	Unknown
ENSG00000222300.1	RNU2-21P
G046591	Unknown
ENSG00000115183.13	TANC1
ENSG00000213189.5	BTF3L4P2
ENSG00000202029.1	RNU6-580P
ENSG00000226878.1	GSTM3P2
ENSG00000275141.1	MIR6888
ENSG00000196151.10	WDSUB1
G046596	Unknown
G046599	Unknown
ENSG00000123636.17	BAZ2B
ENSG00000223642.7	AC008277.1
ENSG00000270893.1	RP11-311B14.1
ENSG00000225369.1	AC009506.2
G046600	Unknown
ENSG00000207117.1	Y_RNA
ENSG00000224152.1	AC009506.1
G046603	Unknown
ENSG00000226266.6	AC009961.3
ENSG00000230783.1	AC009961.2
ENSG00000136536.14	MARCH7
ENSG00000241399.6	CD302
ENSG00000248672.5	LY75-CD302
G046607	Unknown
ENSG00000054219.10	LY75
ENSG00000227055.1	AC009961.5
XLOC_001726	NotAvail
G046609	Unknown
ENSG00000153246.11	PLA2R1
G046610	Unknown
G046611	Unknown
G046612	Unknown
G046613	Unknown
ENSG00000115221.10	ITGB6
G046615	Unknown
G046616	Unknown
G046617	Unknown
ENSG00000153250.17	RBMS1
ENSG00000263948.1	MIR4785
G046618	Unknown
G046619	Unknown
G046620	Unknown
G046622	Unknown
ENSG00000279844.1	RP11-20F18.1
G046624	Unknown
ENSG00000244372.3	RN7SL423P
XLOC_002369	NotAvail
ENSG00000232337.1	AC009313.2
G046626	Unknown
ENSG00000224467.1	AC009313.1
ENSG00000136560.13	TANK
ENSG00000235724.8	AC009299.2
ENSG00000227403.1	AC009299.3
G046632	Unknown
G046633	Unknown
G046634	Unknown
G046635	Unknown
ENSG00000225813.1	AC009299.4
ENSG00000115233.11	PSMD14
ENSG00000232320.6	AC009299.5
ENSG00000221590.1	AC009299.1
ENSG00000271924.1	RNA5SP108
ENSG00000136535.14	TBR1
ENSG00000224076.5	AC009487.4
ENSG00000251621.1	AC009487.5
ENSG00000144290.16	SLC4A10
ENSG00000280105.1	RP11-334E15.1
ENSG00000226121.2	AC009487.6
ENSG00000238570.1	snoU13
ENSG00000226946.1	AC062022.1
ENSG00000235716.1	KRT18P46
G046644	Unknown
G046647	Unknown
ENSG00000274743.1	AC092841.2
ENSG00000253046.1	AC092841.1
ENSG00000234732.1	RPEP5
G046648	Unknown
LCAG_036006	NotAvail
G046650	Unknown
ENSG00000197635.9	DPP4
ENSG00000230918.1	AC008063.2
ENSG00000231445.1	TIMM8AP1
G046653	Unknown
ENSG00000224674.1	EIF3EP2
ENSG00000233397.1	AC008063.3
G046656	Unknown
ENSG00000236841.7	AC007750.5
ENSG00000274689.1	AC007750.1
ENSG00000115263.14	GCG
G046657	Unknown
ENSG00000078098.13	FAP
G046661	Unknown
ENSG00000115267.5	IFIH1
ENSG00000115271.10	GCA
G046663	Unknown
G046664	Unknown
ENSG00000184611.11	KCNH7
G046667	Unknown
G046668	Unknown
G046669	Unknown
ENSG00000212312.1	RNA5SP109
ENSG00000237750.2	AC007740.1
G046671	Unknown
G046672	Unknown
G046673	Unknown
CRCAG_064444	NotAvail
G046674	Unknown
G046675	Unknown
G046676	Unknown
ENSG00000230282.1	RPL7P61
G046678	Unknown
G046679	Unknown
ENSG00000200902.1	RNU6-627P
XLOC_001733	NotAvail
G046681	Unknown
G046684	Unknown
XLOC_001734	NotAvail
ENSG00000182263.13	FIGN
G046687	Unknown
G046688	Unknown
ENSG00000237844.1	AC092684.1
G046689	Unknown
G046690	Unknown
G046691	Unknown
G046692	Unknown
G046693	Unknown
G046695	Unknown
G046696	Unknown
G046698	Unknown
ENSG00000226847.1	PRPS1P1
G046699	Unknown
ENSG00000229641.1	CYP2C56P
ENSG00000264074.1	AC110086.1
G046701	Unknown
ENSG00000115290.9	GRB14
G046703	Unknown
ENSG00000277998.1	RP11-452N17.1
G046704	Unknown
ENSG00000082438.15	COBLL1
ENSG00000224331.2	AC019181.3
ENSG00000206869.1	SNORA70F
ENSG00000233255.1	AC019181.2
ENSG00000199508.1	RNA5SP110
ENSG00000223318.1	RNA5SP111
ENSG00000169507.9	SLC38A11
ENSG00000236283.3	AC013463.2
XLOC_002378	NotAvail
ENSG00000153253.15	SCN3A
ENSG00000136531.13	SCN2A
ENSG00000233204.1	MAPRE1P3
G046710	Unknown
G046713	Unknown
G046715	Unknown
G046716	Unknown
ENSG00000178662.15	CSRNP3
G046718	Unknown
G046719	Unknown
G046720	Unknown
G046721	Unknown
ENSG00000115339.13	GALNT3
ENSG00000235192.1	AC009495.2
ENSG00000229195.1	AC009495.4
ENSG00000221234.1	AC009495.1
ENSG00000232411.1	AC009495.3
G046727	Unknown
ENSG00000123607.14	TTC21B
ENSG00000224490.5	TTC21B-AS1
ENSG00000236107.7	AC010127.3
XLOC_001740	NotAvail
ENSG00000144285.15	SCN1A
ENSG00000238813.1	Y_RNA
ENSG00000222376.1	RN7SKP152
ENSG00000169432.14	SCN9A
ENSG00000136546.13	SCN7A
G046737	Unknown
G046739	Unknown
G046741	Unknown
ENSG00000163092.19	XIRP2
ENSG00000225182.1	AC092601.1
ENSG00000254552.1	XIRP2-AS1
G046746	Unknown
ENSG00000228222.1	AC074363.1
ENSG00000238357.1	RNU7-148P
ENSG00000214211.2	CTAGE14P
ENSG00000235335.2	AC016723.4
ENSG00000172318.5	B3GALT1
G046749	Unknown
G046750	Unknown
G046752	Unknown
G046748	Unknown
ENSG00000198648.10	STK39
ENSG00000238259.1	AC067940.1
XLOC_001743	NotAvail
XLOC_002383	NotAvail
G046756	Unknown
XLOC_002384	NotAvail
ENSG00000241074.3	RN7SL813P
ENSG00000172292.14	CERS6
ENSG00000265694.1	MIR4774
ENSG00000199348.1	RNU6-766P
ENSG00000227617.8	CERS6-AS1
ENSG00000163072.14	NOSTRIN
ENSG00000152253.8	SPC25
G046768	Unknown
ENSG00000152254.10	G6PC2
ENSG00000073734.8	ABCB11
G046772	Unknown
G046773	Unknown
ENSG00000073737.16	DHRS9
ENSG00000235321.1	AC007556.3
ENSG00000235995.1	UBE2V1P6
G046777	Unknown
ENSG00000081479.12	LRP2
G046781	Unknown
ENSG00000163093.11	BBS5
ENSG00000251569.1	RP11-724O16.1
ENSG00000239474.6	KLHL41
ENSG00000138399.17	FASTKD1
ENSG00000229827.1	AC093899.3
G046784	Unknown
ENSG00000138398.15	PPIG
G046786	Unknown
ENSG00000154479.12	CCDC173
ENSG00000226072.1	AC016772.4
ENSG00000144362.11	PHOSPHO2
ENSG00000213160.9	KLHL23
G046789	Unknown
ENSG00000206961.1	SNORA51
G046790	Unknown
G046791	Unknown
G046792	Unknown
G046793	Unknown
ENSG00000231550.1	PTCHD3P2
G046796	Unknown
G046797	Unknown
ENSG00000214369.2	AC009967.3
ENSG00000138385.15	SSB
ENSG00000138382.13	METTL5
ENSG00000144357.16	UBR3
G046805	Unknown
ENSG00000227176.1	AC092641.2
G046808	Unknown
G046809	Unknown
XLOC_001745	NotAvail
XLOC_001746	NotAvail
ENSG00000252807.1	RNU6-1006P
G046812	Unknown
LCAG_034691	NotAvail
G046815	Unknown
ENSG00000071909.18	MYO3B
G046816	Unknown
G046817	Unknown
ENSG00000231898.8	AC012594.1
G046819	Unknown
G046821	Unknown
ENSG00000214821.4	HMGB1P4
ENSG00000213981.8	AC007277.3
ENSG00000275414.1	uc_338
ENSG00000234350.4	AC007405.4
ENSG00000222033.1	LINC01124
ENSG00000204335.3	SP5
G046824	Unknown
XLOC_l2_008343	NotAvail
ENSG00000128692.8	EIF2S2P4
ENSG00000239467.5	AC007405.6
ENSG00000204334.7	ERICH2
ENSG00000222509.1	Y_RNA
G046826	Unknown
ENSG00000128683.13	GAD1
ENSG00000235934.1	AC007405.8
ENSG00000266020.1	AC010092.1
ENSG00000115806.12	GORASP2
XLOC_001749	NotAvail
G046833	Unknown
G046834	Unknown
ENSG00000198586.13	TLK1
G046836	Unknown
G046837	Unknown
G046840	Unknown
XLOC_002390	NotAvail
G046841	Unknown
G046842	Unknown
XLOC_001751	NotAvail
G046846	Unknown
ENSG00000123600.18	METTL8
ENSG00000224553.1	AC008065.1
G046847	Unknown
ENSG00000115827.13	DCAF17
XLOC_001752	NotAvail
ENSG00000228507.1	DAP3P2
ENSG00000234061.1	AC007969.4
ENSG00000233762.3	AC007969.5
ENSG00000071967.11	CYBRD1
G046854	Unknown
ENSG00000233934.2	RPL21P38
ENSG00000077380.15	DYNC1I2
G046857	Unknown
G046858	Unknown
XLOC_l2_007644	NotAvail
G046860	Unknown
ENSG00000115840.13	SLC25A12
G046862	Unknown
ENSG00000252779.1	RNU6-182P
ENSG00000128708.12	HAT1
G046866	Unknown
ENSG00000172878.13	METAP1D
ENSG00000144355.14	DLX1
G046869	Unknown
ENSG00000115844.10	DLX2
ENSG00000236651.1	DLX2-AS1
LCAG_034707	NotAvail
G046873	Unknown
G046876	Unknown
XLOC_001756	NotAvail
G046877	Unknown
ENSG00000232555.1	AC104088.1
XLOC_002392	NotAvail
G046878	Unknown
ENSG00000281212.1	Clostridiales-1
G046879	Unknown
ENSG00000278924.1	RP11-227L6.1
ENSG00000091409.14	ITGA6
ENSG00000226963.1	AC078883.4
ENSG00000232788.1	AC078883.3
ENSG00000225205.5	AC093818.1
G046883	Unknown
ENSG00000152256.13	PDK1
ENSG00000199866.1	Y_RNA
G046885	Unknown
G046887	Unknown
G046888	Unknown
CRCAG_063247	NotAvail
ENSG00000230104.1	AC018712.2
G046891	Unknown
ENSG00000228016.1	RAPGEF4-AS1
ENSG00000239041.1	snoU13
ENSG00000091428.17	RAPGEF4
G046893	Unknown
ENSG00000232292.1	ALDH7A1P2
G046894	Unknown
G046895	Unknown
ENSG00000265709.1	AC019046.1
ENSG00000091436.16	pk
ENSG00000238133.6	MLK7-AS1
G046897	Unknown
G046898	Unknown
ENSG00000231735.1	RP11-1O7.1
G046899	Unknown
ENSG00000236391.3	AC092573.2
ENSG00000144354.13	CDCA7
G046903	Unknown
G046904	Unknown
G046906	Unknown
ENSG00000213148.3	AC073465.1
ENSG00000236832.1	AC073465.2
ENSG00000226131.1	AC073465.3
G046911	Unknown
G046912	Unknown
G046913	Unknown
G046914	Unknown
ENSG00000237016.1	AC013410.1
CRCAG_063251_grp1	NotAvail
G046915	Unknown
G046921	Unknown
ENSG00000237617.1	AC013410.2
ENSG00000270460.1	RP11-796E10.1
CRCAG_063251_grp2	NotAvail
G046932	Unknown
G046933	Unknown
CRCAG_064497	NotAvail
G046935	Unknown
ENSG00000234415.1	RPL5P7
ENSG00000224638.1	AC106900.6
ENSG00000172845.13	SP3
ENSG00000271151.1	RP11-394I13.2
ENSG00000273258.1	RP11-394I13.3
ENSG00000260868.1	RP11-394I13.1
G046948	Unknown
ENSG00000235414.3	AC016737.1
CRCAG_064500	NotAvail
ENSG00000138430.15	OLA1
ENSG00000270799.1	RP11-451F14.1
ENSG00000243770.3	RN7SL65P
ENSG00000201088.1	Y_RNA
ENSG00000227180.1	AC013467.1
G046954	Unknown
ENSG00000237804.1	HNRNPA1P39
ENSG00000231453.1	LINC01305
G046958	Unknown
XLOC_002399	NotAvail
ENSG00000280414.1	RP11-572N21.1
ENSG00000217236.1	SP9
G046960	Unknown
ENSG00000138433.15	CIR1
ENSG00000144306.13	SCRN3
ENSG00000163328.13	GPR155
G046964	Unknown
ENSG00000226853.2	AC010894.3
ENSG00000179997.8	AC010894.4
G046969	Unknown
ENSG00000279884.1	RP11-483E17.1
ENSG00000236449.1	AC018890.6
ENSG00000206965.1	RNU6-5P
ENSG00000115935.16	WIPF1
ENSG00000237798.1	AC010894.5
ENSG00000235655.3	H3F3AP4
ENSG00000138435.14	CHRNA1
ENSG00000237104.1	AC018890.4
ENSG00000128656.13	CHN1
ENSG00000281373.1	Y_RNA
ENSG00000212167.1	RNU6-763P
ENSG00000199827.1	RNU6-1290P
ENSG00000227187.1	RP11-6C10.1
ENSG00000266510.1	AC007435.1
G046981	Unknown
G046982	Unknown
G046984	Unknown
ENSG00000115966.16	ATF2
G046986	Unknown
G046987	Unknown
ENSG00000277948.1	uc_338
ENSG00000215973.1	MIR933
ENSG00000229750.1	AC096649.2
ENSG00000154518.9	ATP5G3
ENSG00000200121.2	Y_RNA
ENSG00000233131.1	AC096649.1
G046993	Unknown
ENSG00000229066.1	AC096649.3
G046996	Unknown
ENSG00000221347.1	AC096649.4
G046998	Unknown
G046994	Unknown
G047000	Unknown
CRCAG_064511	NotAvail
CRCAG_063265	NotAvail
G047001	Unknown
ENSG00000223976.1	EXTL2P1
G047003	Unknown
XLOC_002401	NotAvail
ENSG00000235047.1	AC016751.3
ENSG00000229779.1	AC016751.2
G047005	Unknown
G047007	Unknown
ENSG00000144320.13	KIAA1715
G047009	Unknown
XLOC_l2_007656	NotAvail
G047010	Unknown
G047011	Unknown
ENSG00000174279.4	EVX2
G047014	Unknown
ENSG00000128714.5	HOXD13
ENSG00000170178.6	HOXD12
ENSG00000128713.12	HOXD11
G047015	Unknown
ENSG00000128710.5	HOXD10
ENSG00000237380.6	HOXD-AS2
ENSG00000128709.11	HOXD9
ENSG00000281719.1	AC009336.1
ENSG00000175879.8	HOXD8
ENSG00000128652.11	HOXD3
ENSG00000207744.1	MIR10B
ENSG00000278500.1	AC009336.19
ENSG00000170166.5	HOXD4
G047019	Unknown
ENSG00000272729.1	RP11-387A1.5
ENSG00000224189.6	HAGLR
ENSG00000226363.3	HAGLROS
ENSG00000128645.12	HOXD1
ENSG00000277284.1	MIR7704
ENSG00000279160.1	RP11-387A1.6
ENSG00000218175.2	AC016739.2
G047023	Unknown
ENSG00000230384.1	AC016739.1
ENSG00000128654.13	MTX2
ENSG00000264392.2	AC016739.3
ENSG00000237260.1	AC073069.2
G047027	Unknown
ENSG00000265186.1	AC068706.2
ENSG00000221304.1	AC068706.1
G047029	Unknown
G047031	Unknown
G047032	Unknown
ENSG00000229434.1	AC017048.1
ENSG00000236231.1	AC017048.2
MIR1246	MIR1246
ENSG00000272551.1	RP11-324L17.1
ENSG00000163364.9	LINC01116
ENSG00000224577.1	LINC01117
G047039	Unknown
ENSG00000252027.1	RNU6ATAC14P
G047040	Unknown
ENSG00000230552.5	AC092162.1
ENSG00000237053.1	FUCA1P1
ENSG00000223777.1	AC092162.2
ENSG00000279205.1	RP11-632P5.1
XLOC_002410	NotAvail
XLOC_001767	NotAvail
ENSG00000227098.1	AC073636.1
XLOC_001768	NotAvail
G047044	Unknown
ENSG00000206866.1	RNU6-187P
G047043_grp1	Unknown
ENSG00000236501.5	AC079305.11
G047045	Unknown
G047043_grp2	Unknown
G047046	Unknown
ENSG00000251746.1	RNA5SP112
G047047	Unknown
ENSG00000229337.1	AC079305.8
G047048	Unknown
ENSG00000226273.2	AC079305.5
ENSG00000201102.1	Y_RNA
ENSG00000213069.3	KRT8P40
G047051	Unknown
G047052	Unknown
G047053	Unknown
G047054	Unknown
ENSG00000170144.18	HNRNPA3
ENSG00000263721.1	MIR4444-1
ENSG00000116044.15	NFE2L2
G047058	Unknown
ENSG00000225808.1	DNAJC19P5
G047059	Unknown
ENSG00000265396.1	MIR3128
ENSG00000222043.2	AC079305.10
G047062	Unknown
G047063	Unknown
G047064	Unknown
G047065	Unknown
ENSG00000213963.6	AC074286.1
G047067	Unknown
ENSG00000271825.1	RP11-337N6.2
ENSG00000271996.1	RP11-337N6.1
G047069	Unknown
ENSG00000278418.1	MIR6512
ENSG00000280374.1	RP11-337N6.3
G047070	Unknown
ENSG00000237178.2	AC019080.1
ENSG00000238295.1	snoU13
G047071	Unknown
ENSG00000018510.12	AGPS
G047075	Unknown
ENSG00000196659.9	TTC30B
XLOC_001769	NotAvail
CRCAG_064525	NotAvail
G047078	Unknown
ENSG00000237655.1	AC073834.3
ENSG00000197557.6	TTC30A
G047081	Unknown
ENSG00000128655.16	PDE11A
G047082	Unknown
ENSG00000229941.5	AC012499.1
G047083	Unknown
ENSG00000236664.1	AC011998.1
G047084	Unknown
ENSG00000213962.2	API5P2
ENSG00000229744.1	AC011998.2
ENSG00000206788.1	RNU6-629P
ENSG00000249909.1	CYCTP
ENSG00000227241.1	AC011998.4
